CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,H6M_Facial Coverings
United States,USA,Alaska,US_AK,STATE_TOTAL,20200408,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200409,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200410,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200411,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200412,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200413,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200414,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200415,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200416,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200417,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200418,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200419,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200420,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200421,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200422,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200423,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200424,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200425,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200426,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200427,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200428,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200429,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200430,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200501,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200502,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200503,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200504,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200505,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200506,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200507,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200508,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200509,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200510,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200511,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200512,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200513,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200514,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200515,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200516,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200517,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200518,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200519,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200520,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200521,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200522,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200523,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200524,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200525,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200526,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200527,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200528,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200529,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200530,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200531,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200601,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200602,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200603,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200604,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200605,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200606,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200607,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200608,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200609,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200610,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200611,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200612,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200613,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200614,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200615,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200616,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200617,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200618,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200619,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200620,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200621,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200622,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200623,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200624,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200625,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200626,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200627,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200628,1
United States,USA,Alaska,US_AK,STATE_TOTAL,20200629,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200630,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200701,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200702,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200703,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200704,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200705,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200706,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200707,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200708,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200709,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200710,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200711,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200712,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200713,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200714,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200715,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200716,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200717,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200718,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200719,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200720,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200721,3
United States,USA,Alaska,US_AK,STATE_TOTAL,20200722,3
